,Time CBC,Solver,Iteration
0,6.785299777984619,CBC,0
1,6.378656387329102,CBC,1
2,6.205397844314575,CBC,2
3,6.372983455657959,CBC,3
4,6.668480396270752,CBC,4
5,6.589842796325684,CBC,5
6,6.201736927032471,CBC,6
7,6.327327013015747,CBC,7
8,6.831832408905029,CBC,8
9,6.523540496826172,CBC,9
10,6.222141981124878,CBC,10
11,6.544240713119507,CBC,11
12,6.820478916168213,CBC,12
13,6.709709167480469,CBC,13
14,6.855999231338501,CBC,14
15,6.76895809173584,CBC,15
16,6.816925525665283,CBC,16
17,6.8055946826934814,CBC,17
18,6.8469531536102295,CBC,18
19,6.527678728103638,CBC,19
20,6.7797746658325195,CBC,20
21,6.669106483459473,CBC,21
22,6.647730588912964,CBC,22
23,6.567133665084839,CBC,23
24,6.545535564422607,CBC,24
25,6.531980752944946,CBC,25
26,6.566153049468994,CBC,26
27,6.658999681472778,CBC,27
28,6.620447158813477,CBC,28
29,6.622036457061768,CBC,29
30,29.346149444580078,SCIP,0
31,29.297356367111206,SCIP,1
32,29.661030054092407,SCIP,2
33,31.618071794509888,SCIP,3
34,28.844271183013916,SCIP,4
35,25.355668544769287,SCIP,5
36,25.50104808807373,SCIP,6
37,24.655815839767456,SCIP,7
38,25.882071256637573,SCIP,8
39,27.1568341255188,SCIP,9
40,24.438035011291504,SCIP,10
41,25.501873016357422,SCIP,11
42,26.40235209465027,SCIP,12
43,25.76339101791382,SCIP,13
44,23.63605809211731,SCIP,14
45,25.417393445968628,SCIP,15
46,27.151814699172974,SCIP,16
47,23.84274649620056,SCIP,17
48,25.508263111114502,SCIP,18
49,27.32299518585205,SCIP,19
50,24.63309907913208,SCIP,20
51,24.694274187088013,SCIP,21
52,26.46751379966736,SCIP,22
53,30.248912811279297,SCIP,23
54,31.101513147354126,SCIP,24
55,32.627055644989014,SCIP,25
56,32.09430265426636,SCIP,26
57,31.835256576538086,SCIP,27
58,32.24136281013489,SCIP,28
59,32.256826877593994,SCIP,29
