,shift,station,vehicle,neighbor,value
91,9 AM to 6 PM,66-44 Myrtle Avenue,engines,QN53,1.0
92,9 AM to 6 PM,1210 Cortelyou Road,engines,BK60,1.0
93,9 AM to 6 PM,1226 Seneca Ave.,engines,BX34,1.0
94,9 AM to 6 PM,1367 Fifth Avenue,engines,BX39,1.0
95,9 AM to 6 PM,341 East 143 Street,engines,BX63,1.0
96,9 AM to 6 PM,885 Howard Ave.,engines,BK85,1.0
97,9 AM to 6 PM,187 Union Ave.,engines,BK76,1.0
98,9 AM to 6 PM,1160 Ogden Ave.,engines,MN35,1.0
99,9 AM to 6 PM,119-11 14th Road,engines,QN47,1.0
100,9 AM to 6 PM,101-02 Jamaica Avenue,engines,QN99,1.0
101,9 AM to 6 PM,1518 Williamsbridge Road,engines,BX13,1.0
102,9 AM to 6 PM,3431 White Plains Road,engines,BX99,1.0
103,9 AM to 6 PM,5105 Snyder Ave.,engines,BK45,1.0
104,9 AM to 6 PM,75 Canal Street,engines,BK73,1.0
105,9 AM to 6 PM,436 39th St,engines,BK40,1.0
106,9 AM to 6 PM,901 Avenue U,engines,BK99,1.0
107,9 AM to 6 PM,799 Lincoln Ave.,ladders,BK50,1.0
108,9 AM to 6 PM,252 Lorraine St.,ladders,BK68,1.0
109,9 AM to 6 PM,1635 E. 14th Street,ladders,BK44,1.0
110,9 AM to 6 PM,1215 Intervale Ave.,ladders,BX98,1.0
111,9 AM to 6 PM,25 Rockaway Ave.,ladders,BK75,1.0
112,9 AM to 6 PM,1367 Fifth Avenue,ladders,MN06,1.0
113,9 AM to 6 PM,1214 Castle Hill Ave.,ladders,BX07,1.0
114,9 AM to 6 PM,3929 East Tremont Ave.,ladders,BX10,1.0
115,9 AM to 6 PM,305 Front Street,ladders,SI37,1.0
116,9 AM to 6 PM,12-49 149th Street,ladders,QN23,1.0
117,9 AM to 6 PM,218-44 97th Avenue,ladders,QN46,1.0
118,9 AM to 6 PM,108-01 Horace Harding Exp.,ladders,QN50,1.0
119,9 AM to 6 PM,491 Rogers Ave.,ladders,BK91,1.0
120,9 AM to 6 PM,395 4th Ave.,ladders,BK09,1.0
121,9 AM to 6 PM,755 East 233 Street,ladders,BX43,1.0
122,9 AM to 6 PM,618 East 138 Street,ladders,BX55,1.0
123,9 AM to 6 PM,8653 18th Ave.,ladders,BK21,1.0
124,9 AM to 6 PM,126 Foster Ave.,ladders,BK34,1.0
125,9 AM to 6 PM,21 Asch Loop,ladders,BX31,1.0
126,9 AM to 6 PM,97-28 43rd Avenue,ladders,QN17,1.0
127,9 AM to 6 PM,515 West 181 Street,ladders,BX29,1.0
128,9 AM to 6 PM,1157 79th St.,ladders,BK27,1.0
129,9 AM to 6 PM,901 Avenue U,ladders,BK27,1.0
130,9 AM to 6 PM,97-28 43rd Avenue,ladders,QN28,1.0
131,9 AM to 6 PM,29 Vermilyea Avenue,ladders,MN04,1.0
132,9 AM to 6 PM,1361 Rockaway Parkway,ladders,BK58,1.0
133,9 AM to 6 PM,1210 Cortelyou Road,ladders,BK96,1.0
134,9 AM to 6 PM,56-07 Metropolitan Avenue,ladders,BK90,1.0
135,9 AM to 6 PM,1214 Castle Hill Ave.,ladders,BX59,1.0
136,9 AM to 6 PM,2732 E. 11th Street,ladders,BK17,1.0
137,9 AM to 6 PM,278 McClean Avenue,ladders,SI36,1.0
138,9 AM to 6 PM,157 E 67th St,ladders,MN33,1.0
139,9 AM to 6 PM,Brooklyn Navy Yard Building 292,ladders,BK69,1.0
140,9 AM to 6 PM,925 East Tremont Ave.,ladders,BX09,1.0
141,9 AM to 6 PM,2928 Briggs Ave.,ladders,BX49,1.0
142,9 AM to 6 PM,1843 White Plains Rd.,ladders,BX49,1.0
143,9 AM to 6 PM,3446 Eastchester Road,ladders,BX49,1.0
144,9 AM to 6 PM,4210 12th Ave.,ladders,BK46,1.0
145,9 AM to 6 PM,256 Nelson Ave.,ladders,SI99,1.0
146,9 AM to 6 PM,513 West 161 Street,ladders,MN09,1.0
