,nta,engines,squads,ladders,ha,rescue,shift
0,BK17,4.934513574900762,0.18881987577639753,3.8063448570361014,0.028029322984044848,0.11378136962994471,1
1,BK25,3.671612643019381,0.15900621118012423,2.61050121879615,0.018973695558430356,0.09995746490854955,1
2,BK27,2.3961663376424887,0.125879917184265,1.6818141380353362,0.01164294954721863,0.06273925988940876,1
3,BK28,5.043240145195186,0.20869565217391303,3.6842161450456383,0.028029322984044848,0.12973202892386218,1
4,BK30,3.378887261457471,0.16231884057971013,2.2364820383253563,0.016817593790426907,0.0861335601871544,1
5,BK31,6.105415101148401,0.25507246376811593,4.5136736473142,0.038378611470461406,0.15312632922160782,1
6,BK33,3.161434120868624,0.11262939958592133,2.2186716011600804,0.014661492022423459,0.07656316461080391,1
7,BK34,3.479250249421554,0.13581780538302277,2.3408003131505435,0.019404915912031046,0.07868991918332624,1
8,BK43,4.0187013097285025,0.17556935817805383,3.0201412735974946,0.02069857697283312,0.09038706933219906,1
9,BK46,1.7647158717017981,0.07950310559006211,1.2619966905681193,0.008193186718413108,0.040408336877924285,1
10,BK58,5.085058056846887,0.19213250517598343,3.7681796345390817,0.029322984044846918,0.12760527435133984,1
11,BK61,7.999766498970473,0.3445134575569358,5.658630322224793,0.04139715394566624,0.18928115695448747,1
12,BK69,2.588528731240315,0.09606625258799172,2.0558333185061297,0.015955153083225527,0.06486601446193109,1
13,BK88,8.284128298202042,0.3412008281573499,6.083536466024945,0.043553255713669685,0.20523181624840492,1
14,BK90,2.6721645545437176,0.11262939958592133,1.9464263473480063,0.009055627425614488,0.07975329646958741,1
15,BK96,4.353244602942113,0.18881987577639753,3.096471718591534,0.028891763691246228,0.10208421948107188,1
16,BX14,4.9721496953872935,0.16563146997929606,3.597708307385727,0.02112979732643381,0.12760527435133984,1
17,BX17,6.214141671442824,0.2815734989648033,4.549294521644752,0.030616645105648987,0.17333049766056996,1
18,BX36,7.543951261966928,0.30807453416149067,5.457626817073821,0.036653730056058646,0.2031050616758826,1
19,BX44,9.12885011356641,0.31801242236024846,6.734889596640749,0.05088400172488142,0.2126754572522331,1
20,BX52,2.1118045384109196,0.10269151138716356,1.6665480490365283,0.007761966364812419,0.054232241599319435,1
21,MN01,3.479250249421554,0.1391304347826087,2.4476629361421987,0.01207416990081932,0.09783071033602722,1
22,MN03,6.017597486679827,0.23850931677018633,4.4144440688219495,0.02544200086244071,0.14993619736282432,1
23,MN20,6.117960474643911,0.23519668737060043,4.65361279646994,0.031910306166451054,0.17652062951935346,1
24,MN22,5.377783438408797,0.20538302277432713,3.852143124032525,0.02544200086244071,0.13292216078264568,1
25,MN23,8.008130081300813,0.3213250517598344,5.808746864046403,0.04139715394566624,0.21905572096980008,1
26,MN99,0.19654418476299645,0.009937888198757764,0.1577495863210149,0.0017248814144027599,0.0031901318587834963,1
27,QN01,3.742703092827273,0.11925465838509317,2.6562994857925735,0.02069857697283312,0.10208421948107188,1
28,QN07,1.8901696066569018,0.0761904761904762,1.3535932245609663,0.01121172919361794,0.04466184602296895,1
